"date","mob.bus.uk","mob.full.uk","mob.bus.sa","mob.full.sa","mob.bus.br","mob.full.br"
2020-08-11,-27.6666666666667,1.41666666666667,-28.8333333333333,-14.1666666666667,-19.3333333333333,-11
2020-08-12,-28.6666666666667,-2.33333333333333,-29.5,-15,-19.8333333333333,-11.25
2020-08-13,-31.8333333333333,-4.58333333333333,-31.8333333333333,-15.3333333333333,-19,-10.1666666666667
2020-08-14,-31.6666666666667,-5.33333333333333,-28.1666666666667,-13.75,-18.1666666666667,-9.25
2020-08-15,-21,-6.16666666666667,-21.8333333333333,-11.75,-20.3333333333333,-10.8333333333333
2020-08-16,-19,-6.33333333333333,-26.6666666666667,-15.75,-27,-16.8333333333333
2020-08-17,-32.6666666666667,-13.8333333333333,-31.1666666666667,-17.5,-23.6666666666667,-17.3333333333333
2020-08-18,-31.6666666666667,-11.4166666666667,-30.1666666666667,-17.0833333333333,-23.3333333333333,-17.0833333333333
2020-08-19,-34.3333333333333,-19.9166666666667,-30.6666666666667,-17.1666666666667,-22.6666666666667,-16.1666666666667
2020-08-20,-33.6666666666667,-7.16666666666667,-28.5,-13,-23,-16.8333333333333
2020-08-21,-36.1666666666667,-17.75,-29.6666666666667,-15.6666666666667,-24,-18.0833333333333
2020-08-22,-24.3333333333333,-10.6666666666667,-24,-14.25,-21.3333333333333,-17.6666666666667
2020-08-23,-23,-9.5,-28.8333333333333,-16.25,-26.3333333333333,-21.8333333333333
2020-08-24,-28.8333333333333,-7.58333333333333,-31.3333333333333,-18.3333333333333,-20.6666666666667,-15.5
2020-08-25,-33.3333333333333,-20.1666666666667,-25.3333333333333,-13.0833333333333,-20.1666666666667,-14.4166666666667
2020-08-26,-27.3333333333333,-8.33333333333333,-25.5,-13.25,-19.6666666666667,-13.6666666666667
2020-08-27,-34.6666666666667,-17.9166666666667,-24.3333333333333,-11.1666666666667,-19.3333333333333,-12.6666666666667
2020-08-28,-33.6666666666667,-17.8333333333333,-23.8333333333333,-10.6666666666667,-17,-11.6666666666667
2020-08-29,-22.6666666666667,-12.3333333333333,-19.3333333333333,-10.0833333333333,-14,-10
2020-08-30,-18.3333333333333,-5.16666666666667,-23.3333333333333,-13,-18.6666666666667,-14.3333333333333
2020-08-31,-39,-11.4166666666667,-25.1666666666667,-13.1666666666667,-20,-15.1666666666667
2020-09-01,-30,-6.83333333333333,-25.6666666666667,-13.6666666666667,-19.3333333333333,-13.75
2020-09-02,-32.3333333333333,-15.4166666666667,-26.8333333333333,-14.6666666666667,-17.5,-11.75
2020-09-03,-31.6666666666667,-11.8333333333333,-23.3333333333333,-10.1666666666667,-15.8333333333333,-9.5
2020-09-04,-30.3333333333333,-12.1666666666667,-23.3333333333333,-10.5833333333333,-11.6666666666667,-6.83333333333333
2020-09-05,-20.6666666666667,-7.66666666666667,-18.6666666666667,-9.41666666666667,-9.66666666666667,-5
2020-09-06,-20,-4.16666666666667,-22.8333333333333,-12,-17,-8.33333333333333
2020-09-07,-30.6666666666667,-15,-25.5,-13.5,-51.6666666666667,-28.5
2020-09-08,-30.3333333333333,-9.66666666666667,-24,-11.9166666666667,-15.6666666666667,-10.3333333333333
2020-09-09,-30,-11,-25.3333333333333,-12.8333333333333,-15,-9.83333333333333
2020-09-10,-30,-11,-24.3333333333333,-11.1666666666667,-13.3333333333333,-6.66666666666667
2020-09-11,-25,-2.66666666666667,-22.6666666666667,-12,-11,-4.16666666666667
2020-09-12,-15.3333333333333,2.08333333333333,-18.1666666666667,-10.5,-10.8333333333333,-3.91666666666667
2020-09-13,-10.6666666666667,8,-23.8333333333333,-13.8333333333333,-15.6666666666667,-6.83333333333333
2020-09-14,-22.3333333333333,4.5,-25.3333333333333,-14,-13.6666666666667,-7.5
2020-09-15,-23.3333333333333,3,-19.6666666666667,-10.5,-13.6666666666667,-7.5
2020-09-16,-24.6666666666667,-1.5,-20.6666666666667,-10.5,-14.6666666666667,-8.5
2020-09-17,-23.6666666666667,2,-21.6666666666667,-10.5,-14.3333333333333,-7.5
2020-09-18,-23.6666666666667,-0.25,-20.1666666666667,-11.8333333333333,-12.3333333333333,-5.83333333333333
2020-09-19,-15.6666666666667,2.16666666666667,-17,-10.3333333333333,-11,-4.33333333333333
2020-09-20,-11.6666666666667,6.16666666666667,-23.8333333333333,-14,-19.3333333333333,-10.6666666666667
2020-09-21,-23.6666666666667,1.91666666666667,-25.1666666666667,-14.4166666666667,-17,-10.8333333333333
2020-09-22,-25.6666666666667,-1.08333333333333,-23.1666666666667,-14.6666666666667,-18.6666666666667,-12.6666666666667
2020-09-23,-29.3333333333333,-12.3333333333333,-19,-10.5,-17.3333333333333,-11.4166666666667
2020-09-24,-28.3333333333333,-9.66666666666667,-45.5,-18.8333333333333,-16.6666666666667,-10.3333333333333
2020-09-25,-27.3333333333333,-8.91666666666667,-26.5,-10.75,-14,-8.58333333333333
2020-09-26,-19.3333333333333,-6,-18.5,-9.83333333333333,-13.6666666666667,-7
2020-09-27,-16.6666666666667,-3.66666666666667,-19.8333333333333,-11.4166666666667,-19.3333333333333,-10.6666666666667
2020-09-28,-24.6666666666667,-4.33333333333333,-23.3333333333333,-13.75,-18.3333333333333,-12.5
2020-09-29,-25.3333333333333,-4,-22.1666666666667,-14.1666666666667,-16.3333333333333,-10.5833333333333
2020-09-30,-28.3333333333333,-13.5,-18.1666666666667,-11.5833333333333,-14.6666666666667,-8.5
2020-10-01,-25,-5.83333333333333,-17.6666666666667,-11.5833333333333,-12.6666666666667,-5.66666666666667
2020-10-02,-27.8333333333333,-13.75,-18.8333333333333,-13.5833333333333,-10.3333333333333,-4.66666666666667
2020-10-03,-24.3333333333333,-15.8333333333333,-13.8333333333333,-10.6666666666667,-10.3333333333333,-5
2020-10-04,-21.6666666666667,-14,-19.3333333333333,-13,-16.6666666666667,-9.33333333333333
2020-10-05,-26,-8.83333333333333,-22.3333333333333,-16.4166666666667,-12.6666666666667,-7.83333333333333
2020-10-06,-26.8333333333333,-9.41666666666667,-21.8333333333333,-16.0833333333333,-9.33333333333333,-4.5
2020-10-07,-25.6666666666667,-7,-20.1666666666667,-13.0833333333333,-8.33333333333333,-3.33333333333333
2020-10-08,-28,-10,-18.6666666666667,-11,-8,-3.16666666666667
2020-10-09,-27,-9.33333333333333,-19.1666666666667,-12.3333333333333,-6.66666666666667,-2.83333333333333
2020-10-10,-20.5,-8.16666666666667,-17,-12.5833333333333,-1.33333333333333,2.83333333333333
2020-10-11,-17,-2.16666666666667,-25.8333333333333,-18,-10.8333333333333,-0.583333333333333
2020-10-12,-29,-12.8333333333333,-23.8333333333333,-16.0833333333333,-42,-19.8333333333333
2020-10-13,-29,-11.5,-22.6666666666667,-15.5833333333333,-7.33333333333333,-3.83333333333333
2020-10-14,-27.6666666666667,-9.5,-21.8333333333333,-15.3333333333333,-9.33333333333333,-5.16666666666667
2020-10-15,-27.1666666666667,-7.75,-16.8333333333333,-11.3333333333333,-9,-4.33333333333333
2020-10-16,-26.6666666666667,-7.83333333333333,-17.6666666666667,-11.6666666666667,-9.16666666666667,-5
2020-10-17,-22.3333333333333,-7.33333333333333,-17,-12.75,-6.66666666666667,-2.83333333333333
2020-10-18,-20.3333333333333,-5.16666666666667,-23.3333333333333,-16.25,-13,-6.33333333333333
2020-10-19,-28.3333333333333,-8.25,-22.3333333333333,-16.6666666666667,-12.6666666666667,-8.66666666666667
2020-10-20,-29,-8.5,-22.5,-16.3333333333333,-11,-6.66666666666667
2020-10-21,-31.3333333333333,-15.8333333333333,-21,-15,-9.66666666666667,-4.83333333333333
2020-10-22,-27.6666666666667,-6.58333333333333,-18,-11.6666666666667,-8.66666666666667,-3.5
2020-10-23,-29.3333333333333,-9.83333333333333,-14.5,-8.41666666666667,-8.33333333333333,-3.83333333333333
2020-10-24,-26,-14.5833333333333,-11.8333333333333,-7.5,-8,-3.66666666666667
2020-10-25,-20.3333333333333,-5.66666666666667,-18.3333333333333,-10.6666666666667,-13,-6.08333333333333
2020-10-26,-31.5,-7.41666666666667,-21.5,-13,-12,-7.5
2020-10-27,-34,-14.8333333333333,-19.6666666666667,-11.8333333333333,-10,-5.66666666666667
2020-10-28,-32.3333333333333,-10.6666666666667,-18.5,-11.6666666666667,-9.66666666666667,-5.33333333333333
2020-10-29,-34.3333333333333,-15.8333333333333,-17.8333333333333,-11.0833333333333,-8.66666666666667,-5.66666666666667
2020-10-30,-32.3333333333333,-9.66666666666667,-15.6666666666667,-9.41666666666667,-9.33333333333333,-5.66666666666667
2020-10-31,-26.6666666666667,-15,-11.3333333333333,-9,-6,-2.16666666666667
2020-11-01,-21.3333333333333,-12.1666666666667,-15,-10.8333333333333,-14,-5
2020-11-02,-24.6666666666667,-9,-18,-12.0833333333333,-47,-25.8333333333333
2020-11-03,-22.6666666666667,-8.33333333333333,-16.1666666666667,-11.0833333333333,-7.66666666666667,-5.66666666666667
2020-11-04,-19,-4.5,-16.6666666666667,-11.0833333333333,-9,-5.5
2020-11-05,-44.6666666666667,-20.3333333333333,-16,-10.0833333333333,-7,-3.33333333333333
2020-11-06,-45.3333333333333,-19.8333333333333,-13.6666666666667,-8.75,-5.66666666666667,-2
2020-11-07,-47,-20.75,-12.3333333333333,-9.08333333333333,-1.5,1.33333333333333
2020-11-08,-47.3333333333333,-24,-19.3333333333333,-12.75,-7,-1.5
2020-11-09,-42.3333333333333,-19.6666666666667,-21.6666666666667,-15.1666666666667,-9.16666666666667,-6.25
2020-11-10,-41.3333333333333,-16.6666666666667,-23.1666666666667,-17.5,-7.33333333333333,-4.5
2020-11-11,-42.6666666666667,-20.1666666666667,-20.6666666666667,-14.9166666666667,-8,-5.66666666666667
2020-11-12,-41.6666666666667,-15.8333333333333,-18.1666666666667,-11.8333333333333,-6.33333333333333,-3.5
2020-11-13,-42.6666666666667,-17.6666666666667,-16.3333333333333,-10.4166666666667,-5.33333333333333,-2.83333333333333
2020-11-14,-48.1666666666667,-28.6666666666667,-14.5,-10.8333333333333,-1,0.333333333333333
